"","file.number","day","hms","file.directory"
"295"," photos","2023-07-26","00:52:48","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3214.jpg"
"296"," photos","2023-07-26","00:52:56","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3215.jpg"
"297"," photos","2023-07-26","00:53:24","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3216.jpg"
"298"," photos","2023-07-26","00:53:28","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3217.jpg"
"299"," photos","2023-07-26","00:53:52","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3218.jpg"
"300"," photos","2023-07-26","00:54:08","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3219.jpg"
"301"," photos","2023-07-26","00:54:18","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3220.jpg"
"302"," photos","2023-07-26","10:24:43","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3221.jpg"
"303"," photos","2023-07-26","00:54:50","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3222.jpg"
"304"," photos","2023-07-26","00:55:00","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3223.jpg"
"305"," photos","2023-07-26","00:55:18","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3224.jpg"
"306"," photos","2023-07-26","00:56:26","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3225.jpg"
"307"," photos","2023-07-26","00:57:08","FLIR photos/TB Experiment/Monthly monitoring July 2023 backup/26 July 2023 flir monthly/FLIR3226.jpg"
